"Cód Admin";"Cód Suc";"Desc";"Precio"
4704;1;ACEITUNAS VERDES OLVA;5999.900
4797;2;AC VDE RELLENAS;21999.900
4346;3;AC NEG CONDIMENTA;23999.900
4706;4;AJI EN VINAGRE DESPUNTADOS;26999.900
4711;5;PICKLES;10299.900
4889;6;AC NEG SUPER;23999.900
4366;7;ACEITUNAS NEGRAS;0.000
4884;8;CEREZAS AL MARRASCHINO;33299.900
4875;9;PEPINITOS;20999.900
2992;10;PORT SALUT UNT PAULINA;2399.990
4878;11;CEBOLLITAS;20499.900
4816;12;AC NEG GRIEGAS;20999.900
4894;13;AC VDE DESCAROZADAS;17999.900
4865;14;PICKLES X 220G FCO.;3099.990
0;15;ALFAJOR SIN CULPA;650.000
4705;16;ACEITUNAS VERDES X 200G;3899.990
4915;17;ACEITUNAS VERDES DESC. X 17;3999.990
4776;18;ACEITUNAS VERDES RELLENAS X;5199.990
2423;19;BOLSAS ECOLOGICAS;659.990
0;20;PAPAS C/AMERIC X BOLSA;9299.990
4858;21;MORRON X 220GS.MOLANES;9299.990
0;22;PAN MULTIGRANO FETEADO X 430 G;105.000
4885;23;AC VDES SUPER;16999.900
4856;24;CORAZON DE ALCAUCIL;50999.900
4822;25;ALCAPARRA 65GS.;4499.990
4716;26;ANTIPASTO;13999.900
4409;27;MORRON LATA X 135G;2199.990
0;28;ALFAJOR FASUR;0.000
4863;29;ANCHOA 90G.;7499.990
1019;30;PALMITOS JANDAIA X 800 GRS;0.000
1050;31;PALMITO CUMANA X 396;4599.990
4246;32;PAPAS PAY;1399.990
4349;33;AC NEG DESCAROZADAS;33599.900
0;34;BOCADITOS;39.000
4410;35;MORRON LATA X 500GS.;5699.990
4900;36;CORAZON DE ALCAUCIL X 200 G;13999.900
4836;37;ANCHOA EN ACEITE X 3UN.;999.990
4861;38;AJI MOLANES X 125GS.;2599.990
1016;39;ANANA CUMANA;6899.990
4381;40;AC.NEG EN ACEITE;26999.900
1733;41;TOMATE MOLANES TRITURADO 1L.;0.000
0;42;COMBO SNACK;0.000
0;43;ALFAJOR FARGO;85.000
4508;44;PEPINOS AGRIDULCES X 200G;5899.990
4876;45;PEPINOS AGRIDULCES;19799.990
4369;46;CHUCRUT FCO 660G.;12499.990
4764;47;AC VDE C/ALMENDRAS;47999.900
1030;48;CHOCLO EN GRANOS;1599.990
1024;49;TOMATE PERITA;1199.990
2368;50;PRETZELS MALT PREMIUM X 150 G;0.000
0;51;POROTOS;0.000
1248;52;ALF FRUT ROJOS LA BUSTINCERA;2399.990
4483;53;PAN DULCE VALENTE 400 GRS;0.000
4482;54;PAN DULCE VALENTE 600 GRS;0.000
0;55;GALLETAS MARIN NS FARGO;900.000
0;56;ALFAJOR S/GLUT CELIACOS;550.000
2545;57;CEREZAS X 135G;5799.990
1028;58;CHOCLO CREMOSO;1249.990
1021;59;PALMITOS JANDAIA X 396;0.000
4952;60;PEPINITOS EN VINAGRE X 200;4799.990
0;61;GALLETAS DULCES SIN AZUCAR;75.000
0;62;ALMOHADITAS CHOCO LEIVA;0.000
0;63;GALLETAS ALGARROBA P CELIACOS;95.000
0;64;REPOP;900.000
1303;65;ALFAJOR BCO LA RECOVA;759.990
1304;66;ALFAJOR NGRO LA RECOVA;759.990
0;67;CERV CORONA X 296 ML;3500.000
0;68;CHIQUETAS DE QUESO VAL MAIR;250.000
0;69;MASITAS;0.000
1017;70;CHOCLO AMARILLO CREMOSO;1499.990
0;71;MANI RE PELADO X BOLSA;8699.990
0;72;MANI FRITO X BOLSA;0.000
4485;73;PAN DULCE VALENTE CON CHOCO;0.000
0;74;FIGACITAS LACTAL;75.000
4260;75;MANI CON VAINA;10599.900
0;76;PAPAS FRITAS X BOLSA;9299.990
0;77;CHIZITO BOLSA;4699.990
0;78;PALITO X BOLSA;6699.990
0;79;PITAS VAL MAIRA;0.000
4257;80;CONOS MAXI QUESO;1399.990
4919;81;MAY. NATURA SACHET X 125 G;799.990
4807;82;AC.NEG FCO DESC CORMILLOT;0.000
4806;83;AC.VDE FCO DESC CORMILLOT;0.000
0;84;ALMOHADITAS FRUT LEIVA;0.000
4820;85;CHIMI VANOLI X 350 G CLASICO;2399.990
1018;86;PALMITO CUMANA X 800G;8799.990
3380;87;LEBER CALCHAQUI;1699.990
4866;88;LUPINES X 200G;4599.990
3295;89;BOCADITO DE SALAME AL VACIO;0.000
0;90;PIONONO APTO CELIACOS;125.000
0;91;ALMOHADITAS LIMON LEIVA;0.000
1408;92;DURAZNOS CUMANA;2799.990
4238;93;PAPAS SABOR KETCHUP;1499.990
3255;94;MORTADELITA CALCHAQUI;3499.990
0;95;MAYOLIVA;0.000
0;96;NUEZ MOSCADA.;0.000
0;97;ALFAJOR;3150.000
1400;98;DURAZNOS EN ALM DULCOR;0.000
0;99;BIZCOCHOS JOAN;32.000
3314;100;SOPRESATTA NAHUEL AL VACIO;7799.990
3360;101;FUET BOCATTI;5399.990
0;102;PAN NATUPAN DOBLE INTEGRAL;95.000
4920;103;MAY. NATURA  X 250 G POUCH;1699.990
0;104;PAN NATURAL FARGO;4000.000
0;105;PAN FARGO SALV. S/SAL;155.000
1999;106;PRE PIZZA  ADSER;2999.990
2276;107;VINO NIETO SENETINER CABERN;7899.990
2275;108;VINO NIETO SENETINER MALBEC;7899.990
2277;109;VINO NIETO S.MALBEC DOC;9999.990
0;110;BROWNIES;100.000
4317;111;MANI JAPONES JAMON J.L;15299.900
3579;112;MANTECA X 100 PAULINA;2099.990
3578;113;MANTECA X 200 PAULINA;4099.990
3750;114;GRASA DE VACA ESANI;0.000
3754;115;GRASA DE CERDO ESANI;0.000
3002;116;QUESO UNT.FONTINA PAULINA;2399.990
3004;117;QUESO UNT.ROQUEFORT PAULINA;2399.990
3003;118;QUESO UNT.MAGRO PAULINA;2399.990
4105;119;PROVOLETA EN CAZUELA;26599.990
1996;120;FIGAZAS ARABES ADSER;1849.990
3366;121;SALAMIN FINO ZUR LINDE;0.000
0;122;PAN FARGO MULTICEREAL X 530;155.000
0;123;CERV. BRODA GOLDEN ALE;0.000
4247;124;BASTONITOS X 60 GRS;1299.990
4916;125;KETCHUP NATURA X 250 G;1799.990
4220;126;PAPAS FRITAS;30999.900
4231;127;PAPAS CORTE AMERICANO;30999.900
4229;128;PALITOS SALADOS;16999.900
4232;129;CHIZITOS;19499.900
1504;130;MANI RE-PELADO;21599.900
4258;131;MANI FRITO SALADO;0.000
0;132;ALFAJOR ROSARIO;27.000
4256;133;PAPAS FRITAS X 105G;2599.990
4251;134;PAPAS FRITAS X 50G;1499.990
0;135;PAN DE CAMPO FARGO;73.000
0;136;BRIOCHE;2200.000
0;137;PAN MULTICEREAL;2750.000
0;138;PAN CASERO GLUTEN INTEGRAL;3200.000
4296;139;ALMOHADITAS RELL FRUTILLA;699.900
0;140;PAN LACTAL DIET LACTAL;2500.000
0;141;PAN LACTAL CHICO;2400.000
0;142;CERV. BRODA HONEY;0.000
0;143;PAN LACTAL GRANDE;3400.000
0;144;PIONONO FARGO;135.000
2995;145;QUESO UNT. CHEDDAR PAULINA;2399.990
1457;146;DULC DE LECH S/AZUC X 450;6799.990
4259;147;PAPAS AMERICANAS X 50 GRS;1499.990
1056;148;MIX DE FRUTAS SECAS Y MANI;20799.960
0;149;PAN LACTAL GDE.FARGO;4700.000
0;150;PAN LACTAL GDE.DIET FARGO;320.000
0;151;PAN LACTAL CHICO FARGO;160.000
0;152;PAN LACTAL CHICO DIET FARGO;4000.000
0;153;PAN P/PANCHO FARGO;2400.000
0;154;PAN P/HAMBURGUESA FARGO;2400.000
0;155;PAN LACTAL INTEGRAL FARGO;4000.000
1451;156;MIEL C/EUCALYPTO X 500;5899.990
3847;157;CHIMI CLASICO H. DEL CAMPO;0.000
2274;158;VINO BENJAMIN CABERNET;4599.990
4248;159;BASTONITOS;21499.900
2272;160;VINO BENJAMIN MALBEC;4399.990
2273;161;VINO BENJAMIN MERLOT;4699.990
2344;162;EST.TRUMP RESERVE CABERNET;18499.990
1998;163;PIZZETAS ADSER;2099.990
4316;164;MANI JAPONES PIZZA J.L;15299.900
1456;165;MIEL C/LIMON X 500;5899.990
0;166;PEBETES VAL MAIRA;2000.000
5101;167;TABLA EUCALIPTO ASADO N 1;17999.990
5102;168;TABLA EUCALIPTO ASADO N 2;24599.990
4223;169;RALLADO PAULINA 40G;1399.990
5211;170;VINO TRUMP RES  CHARDONAY;11299.990
3999;171;QUESO RALLADO EN POTE;21999.990
1452;172;MIEL ORGANIC CREMOSA X 500;6999.990
0;173;PAN LACTEADO VAL MAIRA;2400.000
3183;174;PEBETES;1799.990
4318;175;MANI JAPONES QUESO J.L;15299.900
0;176;SAVORA POUCH X 250 G;0.000
3361;177;SALAME FUET CAGNOLI;0.000
3066;178;PASTA DE ACEITUNAS CON SALAME;0.000
5104;179;TABLA EUCALIPTO OVAL C/MANGO;24999.990
5210;180;VINO TRUMP RES GRIGIO;0.000
4118;181;LECHE DE ALM VITALITE;0.000
0;182;TAPA PASCUALINA LITORALENA;0.000
4119;183;LECHE DE MANI VITALITE;0.000
3825;184;TAPA EMP MALU;0.000
2523;185;ATUN EN ACEITE;3199.990
2522;186;ATUN AL NATURAL;3199.990
3803;187;TAPA EMP PREMIUM ORALI;2099.990
3331;188;SALAME BOCATTI FETEADO;2499.990
4412;189;SARDINAS;0.000
5204;190;TABLA EUCAL 3 CUENCAS;10599.990
0;191;PAN SALVADO INTEGRAL CHICO;2700.000
0;192;PAN SACAN CHICO;0.000
0;193;PAN DOBLE INTEGRAL FARGO;280.000
0;194;PAN SACAN GRANDE;0.000
2700;195;ZAPALLO ESNAOLA;0.000
2504;196;MERM. FRUT DEL BOSQUE C.MIC;7459.990
4802;197;AC.VERDE FCO X 1 KG;9699.990
3848;198;CHIMI PICANTE H DEL CAMPO;0.000
0;199;PAN FARGO DIET X 690 GRS;260.000
0;200;PAN LACTEADO FARGO X 550 G;290.000
2321;201;GALLET BIZANTINA AVENA Y GI;0.000
2669;202;BATATA LATA ESNAOLA;5499.990
2663;203;BAT CON CHOCO LATA;5499.990
